holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,traffic_volume
1001,288.28,0,0,40,2001,5545
1001,289.36,0,0,75,2001,4516
1001,289.58,0,0,90,2001,4767
1001,290.13,0,0,90,2001,5026
1001,291.14,0,0,75,2001,4918
1001,291.72,0,0,1,2002,5181
1001,293.17,0,0,1,2002,5584
1001,293.86,0,0,1,2002,6015
1001,294.14,0,0,20,2001,5791
1001,293.1,0,0,20,2001,4770
1001,290.97,0,0,20,2001,3539
1001,289.38,0,0,1,2002,2784
1001,288.61,0,0,1,2002,2361
1001,287.16,0,0,1,2002,1529
1001,285.45,0,0,1,2002,963
1001,284.63,0,0,1,2002,506
1001,283.47,0,0,1,2002,321
1001,281.18,0,0,1,2002,273
1001,281.09,0,0,1,2002,367
1001,279.53,0,0,1,2002,814
1001,278.62,0,0,1,2002,2718
1001,278.23,0,0,1,2002,5673
1001,278.12,0,0,1,2002,6511
1001,282.48,0,0,1,2002,5471
1001,291.97,0,0,1,2002,5097
1001,293.23,0,0,1,2002,4887
1001,294.31,0,0,1,2002,5337
1001,295.17,0,0,1,2002,5692
1001,295.13,0,0,1,2002,6137
1001,293.66,0,0,20,2001,4623
1001,290.65,0,0,20,2001,3591
1001,288.19,0,0,20,2001,2898
1001,287.1,0,0,1,2002,2637
1001,286.25,0,0,1,2002,1777
1001,285.26,0,0,1,2002,1015
1001,284.55,0,0,1,2002,598
1001,283.47,0,0,1,2002,369
1001,283.17,0,0,1,2002,312
1001,282.04,0,0,1,2002,367
1001,281.69,0,0,1,2002,835
1001,281.32,0,0,1,2002,2726
1001,280.74,0,0,1,2002,5689
1001,280.57,0,0,1,2002,6990
1001,281.86,0,0,1,2002,5985
1001,284.98,0,0,1,2002,5309
1001,289.18,0,0,1,2002,4603
1001,291.55,0,0,1,2002,4884
1001,294.97,0,0,1,2002,5104
1001,296.38,0,0,1,2002,5178
1001,297.32,0,0,1,2002,5501
1001,298.17,0,0,1,2002,5713
1001,298.06,0,0,20,2001,6292
1001,297.67,0,0,20,2001,6057
1001,296.36,0,0,40,2001,4907
1001,293.85,0,0,40,2001,3503
1001,292.43,0,0,40,2001,3037
1001,291.77,0,0,75,2001,2822
1001,291.36,0,0,75,2001,1992
1001,291.12,0,0,75,2001,1166
1001,290.63,0,0,75,2001,627
1001,290.46,0,0,40,2001,388
1001,289.26,0,0,0,2002,368
1001,283.21,0,0,75,2001,2489
1001,282.24,0,0,90,2001,5537
1001,281.69,0,0,90,2001,6628
1001,280.57,0,0,90,2001,5534
1001,280.02,0,0,75,2001,5403
1001,280.11,0,0,75,2001,4770
1001,280,0,0,90,2001,5217
1001,280.53,0,0,90,2001,5870
1001,281.43,0,0,75,2001,5967
